shopify_filename,shopify_url,original_filename,used_on_pages,primary_page,suggested_alt,source_url
whatsapp-image-2025-05-13-at-14-55-21.jpeg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/whatsapp-image-2025-05-13-at-14-55-21.jpeg,WhatsApp+Image+2025-05-13+at+14.55.21.jpeg,var-calcic-hidratat,var-calcic-hidratat,Whatsapp image 2025 05 13 at 14 55 21,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/7544254e-1d3e-4c57-9c9d-dc69d6cc5b8a/WhatsApp+Image+2025-05-13+at+14.55.21.jpeg
caminota-finisaj-rustic-04.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/caminota-finisaj-rustic-04.jpg,Layer+1.jpg,caminota-finisaj-rustic; case-moderne-1,caminota-finisaj-rustic,Caminota finisaj rustic,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/7cad675c-5d69-4e00-96a4-09c506152161/Layer+1.jpg
case-moderdne-carusel-06.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/case-moderdne-carusel-06.jpg,case_moderdne_carusel_06.jpg,caminota-tencuiala-cu-paie; case-moderne-1,caminota-tencuiala-cu-paie,Case moderdne carusel 06,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/82185253-63d5-43b0-a9e9-0d9b5cc8511a/case_moderdne_carusel_06.jpg
traditionale-tencuiala-02.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/traditionale-tencuiala-02.jpg,traditionale_tencuiala_02.jpg,case-traditionale,case-traditionale,Traditionale tencuiala 02,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/823ac1f3-de8d-4ca5-afbf-5f3efc8e3966/traditionale_tencuiala_02.jpg
whatsapp-image-2025-05-19-at-14-49-13.jpeg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/whatsapp-image-2025-05-19-at-14-49-13.jpeg,WhatsApp+Image+2025-05-19+at+14.49.13.jpeg,var-calcic-hidratat,var-calcic-hidratat,Whatsapp image 2025 05 19 at 14 49 13,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/8269ee51-ac97-444a-b658-e8c47b92c338/WhatsApp+Image+2025-05-19+at+14.49.13.jpeg
case-moderne-1-03.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/case-moderne-1-03.jpg,Layer+2.jpg,case-moderne-1; vopsea-de-var,case-moderne-1,Case moderne 1,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/83086e1a-fb1b-443b-893c-7b03b53d7f9a/Layer+2.jpg
casa-traditionala-romaneasca-din-chirpici.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/casa-traditionala-romaneasca-din-chirpici.jpg,casa-traditionala-romaneasca-din-chirpici.jpg,blog/beneficiile-sistemului-caminota,blog/beneficiile-sistemului-caminota,Casa traditionala romaneasca din chirpici,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/83b28cb8-ed45-4ce6-8428-0ec2051a0158/casa-traditionala-romaneasca-din-chirpici.jpg
asset-1-404x.png,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/asset-1-404x.png,Asset+1%404x.png,blog/beneficiile-sistemului-caminota; blog/blog-post-title-one-c2wl7; blog/ce-unelte-folosim-la-tencuit-cu-sistemul-caminota; blog/cerdacul-cu-amintiri; blog/curarea-pereilor-de-pmnt-zugrvii-cu-var; blog/decizii-renovare-pereti-case-traditionale-tencuiala-finisaj-argila-lut; blog/finisaje-naturale-pentru-case-noi; blog/ghid-pregatire-tencuire-santier-caramida-bca; blog/planificarea-lucrarilor-renovare-casa-veche-la-tara-chirpici-paianta; blog/renovare-case-lemn-barne-izolare-umplere-goluri; blog/renovarea-casei-frusina-una-dintre-ultimele-case-tradiionale-din-jud-ilfov-cu-ajutorul-caminota; blog/renovarea-caselor-vechi-de-chirpici-sau-paiant-cu-materiale-naturale-versus-clasicul-plas-i-adeziv; blog/tencuit-mecanizat-argila-caramida-bca; blog/texturi-caminota-rustic-fin; blog/tipuri-de-finisaje; blog/uscarea-pe-santier-timpii-de-prelucrare-tencuiala-lut; caminota-finisaj-rustic; caminota-izobarne; caminota-tencuiala-cu-paie; caramida-cu-goluri-si-bca; case-moderne-1; case-moderne-2; case-moderne; case-traditionale; contact; cum-comand; despre-noi; faq; home-1; home; pdf-links; politica-de-confidentialitate; politica-de-cookies; post-oferta; program-ambasadori; rogojina-de-stuf; termeni-si-conditii; var-calcic-hidratat; vopsea-de-var,blog/beneficiile-sistemului-caminota,Asset 1 404x,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/83c045a8-e4ed-4834-96a8-7737298615cc/Asset+1%404x.png
landing-top.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/landing-top.jpg,landing_top.jpg,home; program-ambasadori,home,Landing top,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/84148dfb-faf8-4a5b-9bf4-3cb6073d7c4b/landing_top.jpg
traditionale-finisaj-01.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/traditionale-finisaj-01.jpg,traditionale_finisaj_01.jpg,case-traditionale,case-traditionale,Traditionale finisaj 01,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/8423739d-6681-4f6e-8c9d-bc12d2ff275c/traditionale_finisaj_01.jpg
